City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,bengkulu,-3.8004,102.2655,76.95,90,64,4.76,ID,1689210283
317,pimentel,-6.8367,-79.9342,71.89,83,75,16.11,PE,1689210368
318,labuan,5.2767,115.2417,80.96,83,20,3.44,MY,1689210368
319,egilsstadir,65.2653,-14.3948,40.91,81,75,3.44,IS,1689210368
320,callao,-12.0667,-77.15,70.09,73,100,11.5,PE,1689210185
321,selfoss,63.9331,-20.9971,45.05,70,71,10.54,IS,1689210369
322,howrah,22.5892,88.3103,84.2,84,40,3.44,IN,1689210069
323,avarua,-21.2078,-159.775,80.65,78,75,16.11,CK,1689210369
324,patra,38.2444,21.7344,79.83,60,0,2.64,GR,1689210369
325,pitimbu,-7.4706,-34.8086,73.99,83,40,9.42,BR,1689210369
326,tiruvannamalai,12.2167,79.0667,78.76,83,100,3.24,IN,1689210370
327,zabol,32.25,67.25,71.71,24,0,7.16,AF,1689210370
328,portel,-1.9356,-50.8211,75.13,90,65,2.64,BR,1689210370
329,cruzeiro do sul,-29.5128,-51.9853,66.51,95,100,7.11,BR,1689210290
330,haiku-pauwela,20.9219,-156.3051,86.02,57,40,24.16,US,1689210370
331,santa elena,-2.2333,-80.85,76.93,81,45,6.06,EC,1689210370
332,zaragoza,41.6561,-0.8773,72.05,60,0,17.27,ES,1689210371
333,asaita,11.5636,41.4394,91.22,38,74,5.73,ET,1689210371
334,yasuj,30.6682,51.588,67.55,45,0,0.0,IR,1689210371
335,alofi,-19.0595,-169.9187,77.52,82,83,7.74,NU,1689210371
336,cambria,35.5641,-121.0808,95.23,62,24,5.77,US,1689210371
337,morki,56.4303,48.9947,50.99,92,100,6.93,RU,1689210371
338,karachi,24.9056,67.0822,85.82,70,75,13.8,PK,1689210372
339,tazovsky,67.4667,78.7,40.33,64,7,11.83,RU,1689210372
340,nar'yan-mar,67.6713,53.087,45.66,72,100,12.12,RU,1689210372
341,puerto leguizamo,-0.1934,-74.7819,76.12,81,95,1.19,CO,1689210372
342,madras,13.0878,80.2785,76.98,94,100,6.91,IN,1689210133
343,kerikeri,-35.2268,173.9474,60.91,77,5,4.0,NZ,1689210372
344,cukai,4.25,103.4167,75.15,85,24,5.01,MY,1689210373
345,remedios,22.4947,-79.5458,83.32,81,42,9.15,CU,1689210373
346,nouadhibou,20.931,-17.0347,71.58,88,19,8.05,MR,1689210373
347,oranjemund,-28.55,16.4333,62.98,32,0,12.5,NA,1689210373
348,midar,34.9403,-3.5331,78.17,22,5,3.24,MA,1689210374
349,vorkuta,67.5,64.0,46.67,62,0,9.4,RU,1689210374
350,tchollire,8.4022,14.1698,75.47,79,100,2.55,CM,1689210374
351,badger,64.8,-147.5333,70.52,52,75,10.36,US,1689210375
352,krutinka,56.0055,71.5113,70.72,66,16,14.45,RU,1689210375
353,remire-montjoly,4.9167,-52.2667,73.44,100,0,0.0,GF,1689210375
354,commentry,46.2921,2.7416,57.67,93,78,4.94,FR,1689210375
355,bang saphan,11.2126,99.5117,82.99,74,57,7.58,TH,1689210375
356,pontes e lacerda,-15.2261,-59.3353,73.71,46,4,2.26,BR,1689210123
357,tambura,5.6,27.4667,68.14,95,28,1.72,SS,1689210376
358,aykhal,66.0,111.5,52.02,52,90,20.49,RU,1689210376
359,luderitz,-26.6481,15.1594,66.54,26,0,24.92,NA,1689210376
360,kirensk,57.7853,108.1119,65.25,47,0,4.45,RU,1689210376
361,saint-philippe,-21.3585,55.7679,69.39,72,3,2.71,RE,1689210376
362,revda,56.801,59.9303,55.96,88,0,7.67,RU,1689210376
